tag,sentence
MethDef,"(1) Next, we wish to assess if a linear model is truly the correct fit, and as such we will employ smoothing splines to create a more flexible model."
MethDef,"While such an event seems like it should be disregarded in our data, we have chosen to keep it."
MethJust,"Henceforth, all references to Metabolic Rate will refer to this standardized quantity, which is measured in units of Watts/gram (1)."
Data,"Now, we will look into our response variable, 'death' (number of non-accidental deaths on a particular day)"
RQDef,"Next, we sought to determine the average lifespan of the crab-eating raccoon with a 50% smaller metabolic rate."
MethJust,"We also looked at normality plots for metabolic rate and lifespan (figure not shown), which both showed clear devation from normality."
RQJust,"We see that Other, Social Media, and Lifestyle get a lot of shares when compared to other channels, suggesting that there is most likely a relationship between channel and number of shares."
MethDef,"To do so, we will be comparing our lagged GAM with a saturated model."
MethDef,We will use one-way ANOVA here since we have more than two groups.
Context,"However, even after this life-saving procedure is done, patients are still at risk."
Struct,"Before examining our null and alternative hypotheses, we want to view our two variables visually, with a comparative bar plot (Figure 5, below)."
Context,"Despite these limitations, our model provides a well-established framework for analyzing the relationship between air pollution and mortality."
Struct,"Since we model the log of our response, figure 2 below shows both the original distribution of our response, death, and the distribution on the log scale."
Int,"Furthermore, three countries, the United States, India, and Great-Britain have a significant number of outliers, possibly due to variables such as industrialization (the United States and Great Britain) and population density (India) which could be influencing the popularity of these accounts as well as subscriber access to mobile devices, which can be used to view social media content."
Res,"If we take a look at Table 1, the correlation coefficient is 0.135."
Int,The model fits well to the data.
Data,"For the variables death, pm10median, o3median, and so2median, we can see very high max values relative to the mean and median which suggests that there are outliers for very high values."
Data,"We can draw observations from fig 3 like that non drug users have the highest proportion of “social” drinkers with a proportion of 0.439, whereas “often” drug users have a proportion of “social” drinkers of only 0.005."
Int,We conclude that the number of shares each article gets is heavily dependent on the channel that article falls into and the number of words in the title.
MethJust,"It is noteworthy that the violations to the model assumptions are caused by very few outliers, which means the violations to model assumptions are minor."
Int,"(2) Meanwhile, our model shows the effect of pollution affects the death rate over the next few days."
MethJust,"Graphs relating variables like Temperature to Longevity showed a clearly lacking relationship, and so that variable will be disregarded moving forward."
